Concentration,Target_RFU,Calculated_Time_min,Is_In_Data_Range
0.3125 ug/mL,901.1517013253108,0.06021032955982204,True
0.3125 ug/mL,2702.618613821678,0.20382888016633308,True
0.3125 ug/mL,4504.085526318046,0.39611252768081634,True
0.3125 ug/mL,6305.552438814412,0.6880338319997867,True
0.3125 ug/mL,8107.01935131078,1.3158573344397522,True
0.625 ug/mL,1091.8875665515052,0.044764435251701824,True
0.625 ug/mL,3275.6479652266617,0.15154018879048425,True
0.625 ug/mL,5459.408363901818,0.2944968700119543,True
0.625 ug/mL,7643.168762576975,0.5115309308004021,True
0.625 ug/mL,9826.92916125213,0.9782974263491027,True
1.25 ug/mL,1362.1298599627282,0.04023625836742545,True
1.25 ug/mL,4086.3846925007183,0.1362110379576507,True
1.25 ug/mL,6810.639525038709,0.2647068388905591,True
1.25 ug/mL,9534.894357576699,0.45978667169339826,True
1.25 ug/mL,12259.14919011469,0.8793370850193711,True
2.5 ug/mL,1464.1231171113395,0.051183850049032475,True
2.5 ug/mL,4392.264789108329,0.17327171125562987,True
2.5 ug/mL,7320.406461105318,0.33672900260767225,True
2.5 ug/mL,10248.548133102307,0.5848866920874294,True
2.5 ug/mL,13176.689805099297,1.1185895341258265,True
5.0 ug/mL,1587.5710737252152,0.04755070568663648,True
5.0 ug/mL,4762.747877412041,0.1609724969466625,True
5.0 ug/mL,7937.924681098868,0.3128272235053318,True
5.0 ug/mL,11113.101484785693,0.5433701241473032,True
5.0 ug/mL,14288.27828847252,1.0391895426079703,True
