Concentration,Conc_Value,Time_min,Observed_Value,Fit_Value,Residual
0.3125 ug/mL,0.3125,0,0.0,0.41824507712711695,-0.41824507712711695
0.3125 ug/mL,0.3125,1,7445.16,7442.316189145563,2.8438108544369243
0.3125 ug/mL,0.3125,5,8383.01,9006.324596913202,-623.314596913202
0.3125 ug/mL,0.3125,10,8692.2,9007.752581100667,-315.55258110066643
0.3125 ug/mL,0.3125,15,9333.98,9007.752807523058,326.2271924769411
0.3125 ug/mL,0.3125,20,9165.91,9007.75280755896,158.15719244104002
0.3125 ug/mL,0.3125,25,9165.72,9007.752807558965,157.96719244103406
0.3125 ug/mL,0.3125,30,9301.82,9007.752807558965,294.0671924410344
0.625 ug/mL,0.625,0,0.0,0.007367213926867797,-0.007367213926867797
0.625 ug/mL,0.625,1,9881.38,9881.302526040236,0.07747395976366533
0.625 ug/mL,0.625,5,10728.6,10918.724783084606,-190.12478308460595
0.625 ug/mL,0.625,10,11184.8,10918.809359934567,265.9906400654327
0.625 ug/mL,0.625,15,11177.6,10918.809360589703,258.79063941029744
0.625 ug/mL,0.625,20,10773.7,10918.809360589708,-145.10936058970765
0.625 ug/mL,0.625,25,10773.5,10918.809360589708,-145.30936058970838
0.625 ug/mL,0.625,30,10874.5,10918.809360589708,-44.309360589708376
1.25 ug/mL,1.25,0,0.0,0.00244369373300454,-0.00244369373300454
1.25 ug/mL,1.25,1,12628.2,12628.166467602407,0.033532397594171925
1.25 ug/mL,1.25,5,13384.0,13621.24854454387,-237.2485445438706
1.25 ug/mL,1.25,10,13696.0,13621.276606325873,74.72339367412678
1.25 ug/mL,1.25,15,13723.1,13621.276606383684,101.82339361631603
1.25 ug/mL,1.25,20,13672.3,13621.276606383684,51.023393616314934
1.25 ug/mL,1.25,25,13439.5,13621.276606383684,-181.77660638368434
1.25 ug/mL,1.25,30,13812.7,13621.276606383684,191.4233936163164
2.5 ug/mL,2.5,0,0.0,0.052281112844841715,-0.052281112844841715
2.5 ug/mL,2.5,1,12772.3,12771.890547924593,0.40945207540607953
2.5 ug/mL,2.5,5,14331.8,14640.264452006002,-308.46445200600283
2.5 ug/mL,2.5,10,15121.7,14640.760624281418,480.9393757185826
2.5 ug/mL,2.5,15,14880.4,14640.76064109722,239.63935890277935
2.5 ug/mL,2.5,20,14392.1,14640.760641097791,-248.66064109779109
2.5 ug/mL,2.5,25,14470.3,14640.760641097791,-170.46064109779218
2.5 ug/mL,2.5,30,14647.4,14640.760641097791,6.639358902208187
5.0 ug/mL,5.0,0,0.0,-0.017328118198067,0.017328118198067
5.0 ug/mL,5.0,1,14144.1,14144.258791666593,-0.15879166659215116
5.0 ug/mL,5.0,5,16100.0,15875.62161694706,224.37838305293917
5.0 ug/mL,5.0,10,15978.1,15875.866686532776,102.23331346722443
5.0 ug/mL,5.0,15,16245.9,15875.866690315876,370.0333096841241
5.0 ug/mL,5.0,20,15697.6,15875.866690315934,-178.26669031593337
5.0 ug/mL,5.0,25,15398.7,15875.866690315934,-477.166690315933
5.0 ug/mL,5.0,30,15834.8,15875.866690315934,-41.066690315934466
